Farmer Name,Farm ID,Farm Size (Perches),Farm Type,Farm Location (Village),Farm Location (District),Crop Type,Brinjal Variety,Planting Start Date,Planting End Date,Expected Harvest (kg),Actual Harvest (kg),Soil Type,Soil pH Level,Seed Type,Seed Variety,Seed Source,Seed Quantity (g),Seed Cost (Rs.),Fertilizer Type,Fertilizer Brand,Total Fertilizer Quantity (kg),Fertilizer N-P-K Ratio,Fertilizer Application Schedule,Fertilizer Application Method,Fertilizer Cost (Rs.),Pesticide Type,Pesticide Name,Total Pesticide Quantity (kg),Pesticide Application Frequency,Pesticide Application Method,Pesticide Cost (Rs.),Water Source,Irrigation Method,Total Water Usage (liters),Irrigation Schedule,Irrigation Cost (Rs.),Total Number of Labor Hours,Total Labor Wages,Market Selling Price (Rs./kg),Total Sales Revenue (Rs.),Profit/Loss (Rs.),Buyer Type,Total Cost (Rs.),Yield per Perch,Cost per kg,ROI,Fertilizer Efficiency,Pesticide Efficiency,Water Efficiency,Labor Efficiency,Seed Efficiency,Final Performance Score,Cluster,Cluster Label,Enhanced Recommendations
Chandana Fernando,5610,580.8,Organic,Murunkan,Mannar,Brinjal,Local,24/05/2023,08/09/2023,3855.2,3803.11,Loamy,5.07,Local,Variety-2,Own-grown,578,979.08,Chemical,Brand-3,114.64,"10,10,10",Weekly,Soil Application,2941.22,Chemical,Pesticide-2,21.02,Bi-weekly,Other,683.58,Canal,Drip,8964321.76,Based on moisture levels,2893.08,4,2797.82,149.83,38576.73,19888.49,Wholesale,10294.78,6.548054407713499,2.706937217172262,1.9319004388631908,33.17437165758573,180.9281550462343,0.00042424960881809937,950.7772623056844,6.579775075121496,53.97,0,High Performers,Consider switching soil type to 'Mixed' for better results.; Consider switching seed type to 'GMO' for better results.; Consider switching seed variety to 'Variety-7' for better results.; Consider switching fertilizer brand to 'Brand-1' for better results.; Consider switching pesticide application frequency to 'Weekly' for better results.; Consider switching pesticide application method to 'Drip Irrigation' for better results.; Consider switching water source to 'Rainwater Harvesting' for better results.; Consider switching irrigation method to 'Flood Irrigation' for better results.; Consider switching irrigation schedule to 'Daily' for better results.; Optimize fertilizer usage by applying better dosage based on soil tests.
Chandana Fernando,1936,635.2,Organic,Suriyawewa,Hambantota,Brinjal,Local,20/10/2023,06/02/2024,4068.77,4065.15,Clayey,5.76,GMO,Variety-4,Own-grown,593,1699.85,Chemical,Brand-10,83.85,"8,15,9",Weekly,Soil Application,1248.72,Chemical,Pesticide-1,58.84,Weekly,Other,1871.24,Well,Flood Irrigation,8661046.09,Weekly,2130.84,7,2137.82,314.94,98380.96,76465.57,Retail,9088.47,6.399795340050377,2.235703479576399,8.413470034010126,48.481215879770836,69.0882041283446,0.00046936016247426884,580.7356313234812,6.85522764442626,54.06,0,High Performers,Consider switching soil type to 'Mixed' for better results.; Consider switching seed variety to 'Variety-7' for better results.; Consider switching fertilizer brand to 'Brand-1' for better results.; Consider switching pesticide application method to 'Drip Irrigation' for better results.; Consider switching water source to 'Rainwater Harvesting' for better results.; Consider switching irrigation schedule to 'Daily' for better results.; Consider switching buyer type to 'Wholesale' for better results.; Use targeted pesticide application to improve efficiency.
Chandana Fernando,9107,446.4,Organic,Akuressa,Matara,Brinjal,Hybrid,31/03/2024,12/06/2024,3147.97,2578.09,Clayey,5.81,Local,Variety-10,Certified,480,2172.97,Organic,Brand-8,27.98,"10,10,10",Weekly,Foliar Spray,1382.3,Chemical,Pesticide-10,46.93,Weekly,Other,860.64,Canal,Drip,6771349.0,Daily,1861.61,6,1126.31,328.03,188663.17,175627.79,Direct Consumers,7403.83,5.775291218637993,2.8718275932958117,23.72120780731054,92.14045417653846,54.934795334864795,0.0003807350647558735,429.6815950530675,5.371020822143707,56.74,1,Moderate Performers,Consider switching soil type to 'Sandy' for better results.; Consider switching seed type to 'GMO' for better results.; Consider switching seed variety to 'Variety-8' for better results.; Consider switching fertilizer type to 'Chemical' for better results.; Consider switching fertilizer brand to 'Brand-7' for better results.; Consider switching water source to 'Rainwater Harvesting' for better results.; Consider switching irrigation method to 'Sprinkler' for better results.; Use targeted pesticide application to improve efficiency.; Consider switching to drip irrigation for better water utilization.; Optimize labor distribution and reduce unnecessary workforce hours.; Use higher-quality seeds and improve soil treatment for better yield.; Use certified seeds to enhance germination and crop output.
Bandara Silva,3366,774.4,Organic,Udugama,Galle,Brinjal,Hybrid,26/01/2023,27/03/2023,5063.33,4681.03,Clayey,6.67,GMO,Variety-5,Unverified,696,4033.3,Organic,Brand-5,58.56,"12,13,12",Bi-weekly,Soil Application,1157.3,Organic,Pesticide-1,59.24,Weekly,Drip Irrigation,1769.18,Rainwater Harvesting,Sprinkler,9990586.23,Daily,1718.98,3,1863.28,319.46,95374.78,81106.18,Wholesale,10542.04,6.044718491735537,2.2520770001474038,7.693594408672324,79.93562021967861,79.01806078632578,0.0004685440766171667,1560.342813219062,6.725617806428709,56.96,0,High Performers,Consider switching soil type to 'Mixed' for better results.; Consider switching seed variety to 'Variety-7' for better results.; Consider switching seed source to 'Own-grown' for better results.; Consider switching fertilizer type to 'Chemical' for better results.; Consider switching fertilizer brand to 'Brand-1' for better results.; Consider switching fertilizer application schedule to 'Weekly' for better results.; Consider switching pesticide type to 'Chemical' for better results.; Consider switching irrigation method to 'Flood Irrigation' for better results.
Chandana Fernando,6502,796.8,Organic,Agalawatta,Kalutara,Brinjal,Hybrid,17/02/2024,31/05/2024,5091.89,4760.55,Loamy,5.34,GMO,Variety-7,Own-grown,720,3545.25,Chemical,Brand-1,204.43,"10,10,10",Monthly,Soil Application,6937.38,Chemical,Pesticide-9,73.75,Weekly,Spray,1566.5,Canal,Flood Irrigation,10222052.4,Based on moisture levels,1645.6,7,1487.35,301.5,145099.89,120993.71,Wholesale,15182.080000000002,5.974585843373495,3.189144111499722,7.969508130638226,23.286944072362452,64.54982963322266,0.00046571371518302275,680.0784742745037,6.61187499081684,51.97,0,High Performers,Consider switching soil type to 'Mixed' for better results.; Consider switching fertilizer application schedule to 'Weekly' for better results.; Consider switching pesticide application method to 'Drip Irrigation' for better results.; Consider switching water source to 'Rainwater Harvesting' for better results.; Consider switching irrigation schedule to 'Daily' for better results.; Optimize fertilizer usage by applying better dosage based on soil tests.; Use targeted pesticide application to improve efficiency.
Dinesh Kumara,9428,10.0,Organic,Galaha,Kandy,Brinjal,Local,10/10/2023,16/01/2024,56.62,71.41,Clayey,5.85,GMO,Variety-10,Certified,12,2399.43,Organic,Brand-6,93.35,"7,15,7",Monthly,Foliar Spray,4955.09,Chemical,Pesticide-5,25.02,Bi-weekly,Drip Irrigation,744.76,Rainwater Harvesting,Sprinkler,155527.23,Weekly,2631.99,10,1915.39,479.84,142714.01,112828.84,Direct Consumers,12646.66,7.141,177.09928581431174,8.921631482146275,0.7649705327801765,2.854116592561287,0.0004591478932630694,7.1409992859000715,5.950832837430597,45.71,1,Moderate Performers,Consider switching soil type to 'Sandy' for better results.; Consider switching seed variety to 'Variety-8' for better results.; Consider switching fertilizer type to 'Chemical' for better results.; Consider switching fertilizer brand to 'Brand-7' for better results.; Consider switching fertilizer application schedule to 'Weekly' for better results.; Consider switching pesticide application frequency to 'Weekly' for better results.; Consider switching pesticide application method to 'Other' for better results.; Consider switching irrigation schedule to 'Daily' for better results.; Optimize fertilizer usage by applying better dosage based on soil tests.; Use targeted pesticide application to improve efficiency.; Optimize labor distribution and reduce unnecessary workforce hours.
Dinesh Kumara,1772,425.6,Mixed,Kandapola,Nuwara Eliya,Brinjal,Local,30/07/2024,18/11/2024,2912.01,2877.55,Mixed,5.8,Hybrid,Variety-4,Own-grown,445,824.55,Chemical,Brand-3,61.87,"10,10,10",Weekly,Soil Application,2800.97,Chemical,Pesticide-9,38.76,Bi-weekly,Spray,1701.76,Well,Flood Irrigation,6183030.84,Based on moisture levels,3717.43,6,1317.91,101.08,44961.39,28009.22,Wholesale,10362.619999999999,6.761160714285714,3.60119546141683,2.702909109858318,46.50961618701122,74.2401941630497,0.0004653947351165945,479.5915867347356,6.466404479850777,52.54,0,High Performers,Consider switching seed type to 'GMO' for better results.; Consider switching seed variety to 'Variety-7' for better results.; Consider switching fertilizer brand to 'Brand-1' for better results.; Consider switching pesticide application frequency to 'Weekly' for better results.; Consider switching pesticide application method to 'Drip Irrigation' for better results.; Consider switching water source to 'Rainwater Harvesting' for better results.; Consider switching irrigation schedule to 'Daily' for better results.; Use targeted pesticide application to improve efficiency.; Optimize labor distribution and reduce unnecessary workforce hours.
Amara Perera,9835,10.0,Conventional,Uva Paranagama,Badulla,Brinjal,Other,22/10/2023,10/02/2024,56.62,59.09,Loamy,6.17,Local,Variety-8,Certified,17,761.23,Chemical,Brand-10,59.0,"7,14,9",Monthly,Foliar Spray,1476.51,Organic,Pesticide-10,55.58,As needed,Other,2372.55,Rainwater Harvesting,Drip,173474.68,Based on moisture levels,2071.41,9,2661.87,300.56,37777.39,7138.86,Retail,9343.57,5.909000000000001,158.1243865290235,0.7640398691292515,1.0015254067538069,1.0631521938979456,0.00034062607868571584,6.565554826049465,3.475882148477521,38.68,1,Moderate Performers,Consider switching soil type to 'Sandy' for better results.; Consider switching seed type to 'GMO' for better results.; Consider switching fertilizer brand to 'Brand-7' for better results.; Consider switching fertilizer application schedule to 'Weekly' for better results.; Consider switching pesticide type to 'Chemical' for better results.; Consider switching pesticide application frequency to 'Weekly' for better results.; Consider switching irrigation method to 'Sprinkler' for better results.; Consider switching irrigation schedule to 'Daily' for better results.; Consider switching buyer type to 'Direct Consumers' for better results.; Optimize fertilizer usage by applying better dosage based on soil tests.; Use targeted pesticide application to improve efficiency.; Consider switching to drip irrigation for better water utilization.; Optimize labor distribution and reduce unnecessary workforce hours.; Use certified seeds to enhance germination and crop output.
Amara Perera,3613,481.6,Conventional,Medagama,Monaragala,Brinjal,Other,18/09/2024,11/12/2024,2943.07,3137.05,Mixed,5.41,Local,Variety-8,Unverified,522,1102.81,Chemical,Brand-5,77.96,"10,10,10",Monthly,Soil Application,4019.37,Organic,Pesticide-7,44.79,Bi-weekly,Other,1931.68,Well,Drip,8015987.84,Weekly,3334.5,7,1974.72,214.26,61856.86,37645.46,Wholesale,12363.08,6.513808139534884,3.9409891458535884,3.0449904069212526,40.239224727562544,70.03906965753362,0.00039134914655753877,448.1499359785806,6.00967431798913,50.66,1,Moderate Performers,Consider switching soil type to 'Sandy' for better results.; Consider switching seed type to 'GMO' for better results.; Consider switching seed source to 'Certified' for better results.; Consider switching fertilizer brand to 'Brand-7' for better results.; Consider switching fertilizer application schedule to 'Weekly' for better results.; Consider switching fertilizer application method to 'Foliar Spray' for better results.; Consider switching pesticide type to 'Chemical' for better results.; Consider switching pesticide application frequency to 'Weekly' for better results.; Consider switching water source to 'Rainwater Harvesting' for better results.; Consider switching irrigation method to 'Sprinkler' for better results.; Consider switching irrigation schedule to 'Daily' for better results.; Consider switching buyer type to 'Direct Consumers' for better results.; Use targeted pesticide application to improve efficiency.; Consider switching to drip irrigation for better water utilization.; Optimize labor distribution and reduce unnecessary workforce hours.
Eran Wickramasinghe,7519,337.6,Mixed,Kahawatta,Ratnapura,Brinjal,Local,25/01/2023,26/04/2023,2351.39,1816.76,Clayey,6.52,Hybrid,Variety-8,Own-grown,335,1020.77,Organic,Brand-2,87.14,"10,10,10",Weekly,Foliar Spray,2323.98,Chemical,Pesticide-10,41.82,Weekly,Spray,2499.2,Well,Drip,5338104.92,Based on moisture levels,2238.14,7,1490.04,414.16,51330.99,32818.62,Direct Consumers,9572.130000000001,5.381398104265402,5.268791695105573,3.4285597876334735,20.84874890006026,43.44237103198539,0.00034033800894263047,259.53710578041347,5.423164162915928,45.9,1,Moderate Performers,Consider switching soil type to 'Sandy' for better results.; Consider switching seed type to 'GMO' for better results.; Consider switching seed source to 'Certified' for better results.; Consider switching fertilizer type to 'Chemical' for better results.; Consider switching fertilizer brand to 'Brand-7' for better results.; Consider switching pesticide application method to 'Other' for better results.; Consider switching water source to 'Rainwater Harvesting' for better results.; Consider switching irrigation method to 'Sprinkler' for better results.; Consider switching irrigation schedule to 'Daily' for better results.; Optimize fertilizer usage by applying better dosage based on soil tests.; Use targeted pesticide application to improve efficiency.; Consider switching to drip irrigation for better water utilization.; Optimize labor distribution and reduce unnecessary workforce hours.; Use higher-quality seeds and improve soil treatment for better yield.; Use certified seeds to enhance germination and crop output.
Dinesh Kumara,9531,115.2,Organic,Warakapola,Kegalle,Brinjal,Local,27/09/2023,08/12/2023,822.71,765.54,Loamy,5.18,GMO,Variety-9,Unverified,133,1275.97,Chemical,Brand-1,12.92,"14,13,8",Weekly,Foliar Spray,3174.07,Organic,Pesticide-5,8.55,Weekly,Other,855.99,River,Drip,2005650.85,Weekly,3390.67,5,2723.67,286.13,64639.63,42324.58,Wholesale,11420.37,6.645312499999999,14.918057841523632,3.706060311531062,59.252317395331474,89.5368316331191,0.0003816915591263645,153.10796937840612,5.755939806346317,51.01,1,Moderate Performers,Consider switching soil type to 'Sandy' for better results.; Consider switching seed variety to 'Variety-8' for better results.; Consider switching seed source to 'Certified' for better results.; Consider switching fertilizer brand to 'Brand-7' for better results.; Consider switching pesticide type to 'Chemical' for better results.; Consider switching water source to 'Rainwater Harvesting' for better results.; Consider switching irrigation method to 'Sprinkler' for better results.; Consider switching irrigation schedule to 'Daily' for better results.; Consider switching buyer type to 'Direct Consumers' for better results.; Consider switching to drip irrigation for better water utilization.; Optimize labor distribution and reduce unnecessary workforce hours.; Use certified seeds to enhance germination and crop output.
Bandara Silva,7365,206.4,Conventional,Ibbagamuwa,Kurunegala,Brinjal,Local,19/11/2024,15/03/2025,1351.47,1161.98,Clayey,5.89,Local,Variety-3,Unverified,255,1672.13,Organic,Brand-9,14.33,"10,10,10",Weekly,Soil Application,1933.97,Chemical,Pesticide-3,20.55,Weekly,Other,1468.29,Well,Flood Irrigation,2630419.73,Based on moisture levels,2136.36,10,2251.82,409.62,49215.84,19486.89,Wholesale,9462.57,5.629748062015504,8.143487839721853,2.05936547893437,81.08722392971222,56.54403617790578,0.0004417469906977767,116.19798838020117,4.556784295855748,48.98,1,Moderate Performers,Consider switching soil type to 'Sandy' for better results.; Consider switching seed type to 'GMO' for better results.; Consider switching seed variety to 'Variety-8' for better results.; Consider switching seed source to 'Certified' for better results.; Consider switching fertilizer type to 'Chemical' for better results.; Consider switching fertilizer brand to 'Brand-7' for better results.; Consider switching fertilizer application method to 'Foliar Spray' for better results.; Consider switching water source to 'Rainwater Harvesting' for better results.; Consider switching irrigation method to 'Sprinkler' for better results.; Consider switching irrigation schedule to 'Daily' for better results.; Consider switching buyer type to 'Direct Consumers' for better results.; Use targeted pesticide application to improve efficiency.; Optimize labor distribution and reduce unnecessary workforce hours.; Use higher-quality seeds and improve soil treatment for better yield.; Use certified seeds to enhance germination and crop output.
Bandara Silva,1466,404.8,Conventional,Chilaw,Puttalam,Brinjal,Other,28/10/2023,01/01/2024,2264.67,2211.24,Mixed,5.93,GMO,Variety-2,Own-grown,388,1736.64,Organic,Brand-7,106.29,"10,10,10",Bi-weekly,Foliar Spray,2507.54,Chemical,Pesticide-9,23.07,As needed,Spray,944.99,River,Sprinkler,5459674.13,Based on moisture levels,3577.38,4,1488.24,137.18,29822.93,15103.42,Direct Consumers,10254.789999999999,5.462549407114624,4.637574392648469,1.4728161181262611,20.80383835916983,95.8491505917143,0.00040501318345159085,552.8098617975345,5.699072150260123,47.98,1,Moderate Performers,Consider switching soil type to 'Sandy' for better results.; Consider switching seed variety to 'Variety-8' for better results.; Consider switching seed source to 'Certified' for better results.; Consider switching fertilizer type to 'Chemical' for better results.; Consider switching fertilizer application schedule to 'Weekly' for better results.; Consider switching pesticide application frequency to 'Weekly' for better results.; Consider switching pesticide application method to 'Other' for better results.; Consider switching water source to 'Rainwater Harvesting' for better results.; Consider switching irrigation schedule to 'Daily' for better results.; Optimize fertilizer usage by applying better dosage based on soil tests.; Consider switching to drip irrigation for better water utilization.; Use higher-quality seeds and improve soil treatment for better yield.; Use certified seeds to enhance germination and crop output.
Bandara Silva,4409,510.4,Organic,Thalawa,Anuradhapura,Brinjal,Local,26/02/2023,27/05/2023,2810.47,3215.94,Mixed,6.63,GMO,Variety-10,Certified,530,2758.52,Chemical,Brand-7,77.58,"10,10,10",Weekly,Foliar Spray,1503.86,Chemical,Pesticide-1,31.1,Weekly,Other,741.25,Rainwater Harvesting,Flood Irrigation,8050273.07,Based on moisture levels,1629.09,3,1837.06,362.68,96523.66,84379.76,Wholesale,8469.78,6.30082288401254,2.6336871956566354,9.962450028217969,41.45320905577199,103.40642754320169,0.00039948210104624445,1071.9796426734524,6.067811309306016,54.55,0,High Performers,Consider switching seed variety to 'Variety-7' for better results.; Consider switching seed source to 'Own-grown' for better results.; Consider switching fertilizer brand to 'Brand-1' for better results.; Consider switching fertilizer application method to 'Soil Application' for better results.; Consider switching pesticide application method to 'Drip Irrigation' for better results.; Consider switching irrigation schedule to 'Daily' for better results.; Consider switching to drip irrigation for better water utilization.
Dinesh Kumara,3991,376.0,Mixed,Medirigiriya,Polonnaruwa,Brinjal,Local,05/10/2024,25/01/2025,2116.14,2570.03,Loamy,6.68,GMO,Variety-1,Certified,345,3711.05,Chemical,Brand-7,58.07,"10,10,10",Bi-weekly,Soil Application,4583.58,Chemical,Pesticide-8,31.07,Bi-weekly,Drip Irrigation,835.05,Well,Flood Irrigation,5075292.73,Weekly,1371.68,9,2297.35,224.76,73680.82,42503.31,Direct Consumers,12798.710000000001,6.835186170212767,4.979984669439657,3.3209057787855176,44.257447145558004,82.71740963252624,0.0005063806437819978,285.55885716012705,7.449362297248226,53.45,0,High Performers,Consider switching soil type to 'Mixed' for better results.; Consider switching seed variety to 'Variety-7' for better results.; Consider switching seed source to 'Own-grown' for better results.; Consider switching fertilizer brand to 'Brand-1' for better results.; Consider switching fertilizer application schedule to 'Weekly' for better results.; Consider switching pesticide application frequency to 'Weekly' for better results.; Consider switching water source to 'Rainwater Harvesting' for better results.; Consider switching irrigation schedule to 'Daily' for better results.; Consider switching buyer type to 'Wholesale' for better results.; Optimize labor distribution and reduce unnecessary workforce hours.
Dinesh Kumara,9408,432.0,Mixed,Muttur,Trincomalee,Brinjal,Hybrid,08/06/2023,13/09/2023,2602.49,2587.62,Mixed,6.78,Hybrid,Variety-4,Unverified,448,608.74,Chemical,Brand-8,108.0,"10,10,10",Bi-weekly,Foliar Spray,5702.6,Chemical,Pesticide-10,46.01,Bi-weekly,Other,1123.19,Rainwater Harvesting,Drip,5701436.34,Based on moisture levels,1404.6,6,1028.57,176.61,51361.72,36351.17,Wholesale,9867.7,5.989861111111111,3.813427010148322,3.6838543936276937,23.95944422259774,56.24038130318667,0.00045385405460820176,431.2699281216786,5.775937487107282,49.39,1,Moderate Performers,Consider switching soil type to 'Sandy' for better results.; Consider switching seed type to 'GMO' for better results.; Consider switching seed variety to 'Variety-8' for better results.; Consider switching seed source to 'Certified' for better results.; Consider switching fertilizer brand to 'Brand-7' for better results.; Consider switching fertilizer application schedule to 'Weekly' for better results.; Consider switching pesticide application frequency to 'Weekly' for better results.; Consider switching irrigation method to 'Sprinkler' for better results.; Consider switching irrigation schedule to 'Daily' for better results.; Consider switching buyer type to 'Direct Consumers' for better results.; Optimize fertilizer usage by applying better dosage based on soil tests.; Use targeted pesticide application to improve efficiency.; Optimize labor distribution and reduce unnecessary workforce hours.; Use certified seeds to enhance germination and crop output.
Chandana Fernando,3987,456.0,Conventional,Kiran,Batticaloa,Brinjal,Local,18/02/2024,27/04/2024,2632.91,2593.27,Sandy,6.13,Hybrid,Variety-10,Own-grown,510,1542.22,Chemical,Brand-3,131.41,"10,10,10",Weekly,Soil Application,8775.9,Organic,Pesticide-9,29.55,Weekly,Other,1228.82,Rainwater Harvesting,Drip,7961509.21,Daily,2104.21,8,1756.78,244.9,102818.82,75113.43,Wholesale,15407.929999999998,5.686995614035087,5.941506283572477,4.874985153748751,19.734190550687234,87.75871107415529,0.0003257259310511649,324.15870948016135,5.084843127284621,47.41,1,Moderate Performers,Consider switching seed type to 'GMO' for better results.; Consider switching seed variety to 'Variety-8' for better results.; Consider switching seed source to 'Certified' for better results.; Consider switching fertilizer brand to 'Brand-7' for better results.; Consider switching fertilizer application method to 'Foliar Spray' for better results.; Consider switching pesticide type to 'Chemical' for better results.; Consider switching irrigation method to 'Sprinkler' for better results.; Consider switching buyer type to 'Direct Consumers' for better results.; Optimize fertilizer usage by applying better dosage based on soil tests.; Consider switching to drip irrigation for better water utilization.; Optimize labor distribution and reduce unnecessary workforce hours.; Use higher-quality seeds and improve soil treatment for better yield.; Use certified seeds to enhance germination and crop output.
Amara Perera,9146,457.6,Organic,Damana,Ampara,Brinjal,Hybrid,14/05/2023,20/07/2023,2934.66,2843.42,Sandy,6.43,Hybrid,Variety-8,Own-grown,500,1747.05,Chemical,Brand-3,98.7,"10,10,10",Bi-weekly,Soil Application,2040.79,Organic,Pesticide-3,26.68,Weekly,Other,569.67,Canal,Drip,6273572.23,Daily,1231.13,3,2686.4,410.27,80417.02,66769.18,Wholesale,8275.04,6.213767482517483,2.910241891806346,8.06874407857847,28.80871298066147,106.57495852417696,0.00045323778793880985,947.8063507312164,5.68683998862632,53.39,0,High Performers,Consider switching soil type to 'Mixed' for better results.; Consider switching seed type to 'GMO' for better results.; Consider switching seed variety to 'Variety-7' for better results.; Consider switching fertilizer brand to 'Brand-1' for better results.; Consider switching fertilizer application schedule to 'Weekly' for better results.; Consider switching pesticide type to 'Chemical' for better results.; Consider switching pesticide application method to 'Drip Irrigation' for better results.; Consider switching water source to 'Rainwater Harvesting' for better results.; Consider switching irrigation method to 'Flood Irrigation' for better results.; Optimize fertilizer usage by applying better dosage based on soil tests.; Use certified seeds to enhance germination and crop output.
Chandana Fernando,8761,160.0,Organic,Kopay,Jaffna,Brinjal,Other,13/01/2024,19/03/2024,948.07,968.45,Clayey,6.69,Hybrid,Variety-8,Own-grown,172,930.92,Chemical,Brand-6,35.86,"10,10,10",Monthly,Foliar Spray,5840.95,Organic,Pesticide-5,9.62,As needed,Drip Irrigation,673.3,Well,Flood Irrigation,2564073.28,Daily,2100.89,3,2708.4,153.66,25529.07,7857.81,Direct Consumers,12254.46,6.0528125,12.6536837214105,0.641220420973262,27.00641307846032,100.67046770577261,0.00037769981363388434,322.81655906114696,5.630523223078353,48.13,1,Moderate Performers,Consider switching soil type to 'Sandy' for better results.; Consider switching seed type to 'GMO' for better results.; Consider switching seed source to 'Certified' for better results.; Consider switching fertilizer brand to 'Brand-7' for better results.; Consider switching fertilizer application schedule to 'Weekly' for better results.; Consider switching pesticide type to 'Chemical' for better results.; Consider switching pesticide application frequency to 'Weekly' for better results.; Consider switching pesticide application method to 'Other' for better results.; Consider switching water source to 'Rainwater Harvesting' for better results.; Consider switching irrigation method to 'Sprinkler' for better results.; Optimize fertilizer usage by applying better dosage based on soil tests.; Consider switching to drip irrigation for better water utilization.; Optimize labor distribution and reduce unnecessary workforce hours.; Use certified seeds to enhance germination and crop output.
Eran Wickramasinghe,7384,302.4,Mixed,Dharmapuram,Kilinochchi,Brinjal,Hybrid,05/03/2024,30/06/2024,2051.98,1803.82,Clayey,6.18,Local,Variety-4,Own-grown,338,1160.02,Organic,Brand-2,74.5,"12,14,11",Weekly,Soil Application,5345.28,Organic,Pesticide-1,10.72,Bi-weekly,Other,435.96,Well,Drip,3937470.63,Based on moisture levels,907.01,10,1855.26,480.76,56931.6,30530.73,Direct Consumers,9703.529999999999,5.965013227513228,5.379433646372697,3.146352925172592,24.212348668290623,168.26677534824856,0.00045811643298518823,180.3819819618018,5.336745546340989,50.3,0,High Performers,Consider switching soil type to 'Mixed' for better results.; Consider switching seed type to 'GMO' for better results.; Consider switching seed variety to 'Variety-7' for better results.; Consider switching fertilizer type to 'Chemical' for better results.; Consider switching fertilizer brand to 'Brand-1' for better results.; Consider switching pesticide type to 'Chemical' for better results.; Consider switching pesticide application frequency to 'Weekly' for better results.; Consider switching pesticide application method to 'Drip Irrigation' for better results.; Consider switching water source to 'Rainwater Harvesting' for better results.; Consider switching irrigation method to 'Flood Irrigation' for better results.; Consider switching irrigation schedule to 'Daily' for better results.; Consider switching buyer type to 'Wholesale' for better results.; Optimize fertilizer usage by applying better dosage based on soil tests.; Optimize labor distribution and reduce unnecessary workforce hours.; Use certified seeds to enhance germination and crop output.
Eran Wickramasinghe,3395,208.0,Conventional,Puthukudiyiruppu,Mullaitivu,Brinjal,Hybrid,27/06/2024,01/09/2024,1483.1,1137.5,Mixed,5.69,Hybrid,Variety-7,Own-grown,222,703.68,Organic,Brand-4,61.57,"10,10,10",Weekly,Soil Application,4082.62,Chemical,Pesticide-8,25.31,As needed,Drip Irrigation,1349.85,Well,Drip,2735110.94,Based on moisture levels,2542.8,6,2049.46,279.28,74232.62,53256.91,Wholesale,10728.41,5.46875,9.431569230769231,4.964100924554525,18.474906310298746,44.94270861545995,0.0004158880663171872,189.58330173611637,5.123873850793361,46.8,1,Moderate Performers,Consider switching soil type to 'Sandy' for better results.; Consider switching seed type to 'GMO' for better results.; Consider switching seed variety to 'Variety-8' for better results.; Consider switching seed source to 'Certified' for better results.; Consider switching fertilizer type to 'Chemical' for better results.; Consider switching fertilizer brand to 'Brand-7' for better results.; Consider switching fertilizer application method to 'Foliar Spray' for better results.; Consider switching pesticide application frequency to 'Weekly' for better results.; Consider switching pesticide application method to 'Other' for better results.; Consider switching water source to 'Rainwater Harvesting' for better results.; Consider switching irrigation method to 'Sprinkler' for better results.; Consider switching irrigation schedule to 'Daily' for better results.; Consider switching buyer type to 'Direct Consumers' for better results.; Optimize fertilizer usage by applying better dosage based on soil tests.; Use targeted pesticide application to improve efficiency.; Optimize labor distribution and reduce unnecessary workforce hours.; Use higher-quality seeds and improve soil treatment for better yield.; Use certified seeds to enhance germination and crop output.
Eran Wickramasinghe,6503,416.0,Conventional,Nedunkeni,Vavuniya,Brinjal,Local,25/04/2023,29/07/2023,2460.35,2758.8,Sandy,6.1,GMO,Variety-6,Unverified,402,2256.1,Organic,Brand-10,61.44,"10,10,10",Monthly,Soil Application,1265.45,Organic,Pesticide-10,50.93,As needed,Spray,1662.04,Well,Sprinkler,5591064.04,Weekly,1933.95,9,1472.91,482.06,226042.75,205669.02,Direct Consumers,8590.45,6.63173076923077,3.113835725677831,23.94158862457729,44.9023430191676,54.16846545909159,0.0004934302272809429,306.5332992740779,6.86268655009282,58.2,0,High Performers,Consider switching soil type to 'Mixed' for better results.; Consider switching seed variety to 'Variety-7' for better results.; Consider switching seed source to 'Own-grown' for better results.; Consider switching fertilizer type to 'Chemical' for better results.; Consider switching fertilizer brand to 'Brand-1' for better results.; Consider switching fertilizer application schedule to 'Weekly' for better results.; Consider switching pesticide type to 'Chemical' for better results.; Consider switching pesticide application frequency to 'Weekly' for better results.; Consider switching pesticide application method to 'Drip Irrigation' for better results.; Consider switching water source to 'Rainwater Harvesting' for better results.; Consider switching irrigation method to 'Flood Irrigation' for better results.; Consider switching irrigation schedule to 'Daily' for better results.; Consider switching buyer type to 'Wholesale' for better results.; Use targeted pesticide application to improve efficiency.; Optimize labor distribution and reduce unnecessary workforce hours.
